date,price,volume,change_rate
2024-04-30,60666.6,7343085264.0,-5.0
2024-04-29,63860.1,4295230326.0,1.19
2024-04-28,63109.7,2312970505.0,-0.55
2024-04-27,63456.8,2877131312.0,-0.49
2024-04-26,63766.4,3928010240.0,-1.13
2024-04-25,64497.1,5209430767.0,0.33
2024-04-24,64285.7,5003356031.0,-3.21
2024-04-23,66415.0,3481474300.0,-0.62
2024-04-22,66829.3,4831758390.0,2.91
2024-04-21,64940.2,2728787204.0,-0.03
2024-04-20,64961.1,3204531063.0,1.82
2024-04-19,63799.1,9591556694.0,0.5
2024-04-18,63481.4,6181818732.0,3.59
2024-04-17,61278.9,7287286788.0,-3.96
2024-04-16,63805.3,7335057288.0,0.62
2024-04-15,63411.9,7532699601.0,-3.48
2024-04-14,65697.4,8829730560.0,2.89
2024-04-13,63849.9,9544283052.0,-4.92
2024-04-12,67151.9,8853306496.0,-4.08
2024-04-11,70011.6,5076541116.0,-0.86
2024-04-10,70622.1,6900485391.000001,2.13
2024-04-09,69148.0,6478476120.0,-3.47
2024-04-08,71630.1,7577031978.000001,3.27
2024-04-07,69360.4,3259245195.9999995,0.68
2024-04-06,68890.6,2857582088.0000005,1.56
2024-04-05,67830.6,6034888482.000001,-0.97
2024-04-04,68496.5,6870198950.0,3.84
2024-04-03,65963.0,5835086980.0,0.8
2024-04-02,65439.2,10003690504.0,-6.07
2024-04-01,69664.4,6551936819.999999,-2.34
2024-03-31,71332.0,3028043400.0,2.47
2024-03-30,69611.5,2079295505.0,-0.37
2024-03-29,69871.7,4121731583.0,-1.26
2024-03-28,70762.1,5129544629.0,1.9
2024-03-27,69442.4,7838658111.999999,-0.8
2024-03-26,69999.3,6368536314.0,0.15
2024-03-25,69892.0,8716930240.0,3.99
2024-03-24,67211.9,4408428521.0,4.96
2024-03-23,64037.8,2248367158.0,0.4
2024-03-22,63785.5,4619983765.0,-2.62
2024-03-21,65503.8,4929815988.0,-3.46
2024-03-20,67854.0,9060544620.0,9.35
2024-03-19,62050.0,9188364000.0,-8.2
2024-03-18,67594.1,5277071387.0,-1.17
2024-03-17,68391.2,4518606584.0,4.71
2024-03-16,65314.2,4952122644.0,-5.97
2024-03-15,69463.7,10321611183.0,-2.69
2024-03-14,71387.5,7811934125.0,-2.3
2024-03-13,73066.3,5639257034.0,2.23
2024-03-12,71470.2,7510803318.0,-0.87
2024-03-11,72099.1,8271208752.000001,4.54
2024-03-10,68964.8,3688927152.0,0.88
2024-03-09,68366.5,2099535215.0,0.29
2024-03-08,68172.0,7680939240.0,1.97
2024-03-07,66855.3,5179280091.0,1.17
2024-03-06,66080.4,7791539963.999999,3.59
2024-03-05,63792.6,13243343760.0,-6.56
2024-03-04,68270.1,8933825286.000002,8.13
2024-03-03,63135.8,2399791758.0,1.84
2024-03-02,61994.5,2095414100.0,-0.65
2024-03-01,62397.7,4677331592.0,2.01
2024-02-29,61169.3,7296885797.0,-2.08
2024-02-28,62467.6,10846874064.0,9.48
2024-02-27,57056.2,5733006976.0,4.7
2024-02-26,54495.1,4253342555.0,5.36
2024-02-25,51722.7,1221172947.0,0.29
2024-02-24,51571.6,1082487884.0,1.64
2024-02-23,50740.5,2195541435.0,-1.13
2024-02-22,51320.4,2579876508.0,-1.04
2024-02-21,51858.2,3060670964.0,-0.78
2024-02-20,52263.5,3559144350.0,0.93
2024-02-19,51783.6,1902011628.0,-0.64
2024-02-18,52117.5,1401439575.0,0.91
2024-02-17,51646.0,1675912700.0000002,-0.94
2024-02-16,52134.2,2755813812.0,0.45
2024-02-15,51901.3,3878065136.0,0.23
2024-02-14,51782.4,4160715840.0,4.16
2024-02-13,49716.0,3903203160.0,-0.45
2024-02-12,49941.3,4087695405.0,3.45
2024-02-11,48277.3,1762121450.0,1.09
2024-02-10,47758.2,1490055840.0,1.34
2024-02-09,47127.5,4623679025.0,4.05
2024-02-08,45293.3,3006569254.0,2.15
2024-02-07,44339.8,2153584086.0,2.91
2024-02-06,43087.7,1435682164.0,0.91
2024-02-05,42697.2,1676292072.0,0.27
2024-02-04,42581.4,865679862.0,-0.99
2024-02-03,43005.7,626593049.0,-0.44
2024-02-02,43194.7,1842253954.9999998,0.26
2024-02-01,43081.4,2054551966.0,1.18
2024-01-31,42580.5,2404946640.0,-0.85
2024-01-30,42946.2,2367624006.0,-0.82
2024-01-29,43299.8,1958449954.0000002,3.02
2024-01-28,42030.7,1367258671.0,-0.21
2024-01-27,42120.9,861793614.0,0.74
2024-01-26,41811.3,2904631011.0,4.7
2024-01-25,39935.7,1849022909.9999998,-0.37
2024-01-24,40086.0,2350643040.0,0.49
2024-01-23,39888.8,3297607096.0000005,0.84
2024-01-22,39556.4,3366249640.0,-4.87
2024-01-21,41583.2,669905352.0,-0.27
2024-01-20,41695.4,928556558.0,0.11
2024-01-19,41648.0,3025310720.0,0.86
2024-01-18,41292.7,2904941445.0,-3.45
2024-01-17,42768.7,2157253228.0,-0.87
2024-01-16,43145.5,2758291815.0,1.49
2024-01-15,42510.7,2213957256.0,1.83
2024-01-14,41746.1,1550450154.0,-2.58
2024-01-13,42851.3,2064575634.0000002,0.04
2024-01-12,42835.9,5865091428.0,-7.58
2024-01-11,46348.2,6073468127.999999,-0.6
2024-01-10,46629.3,6130820364.0,1.08
2024-01-09,46129.0,4617051610.0,-1.77
2024-01-08,46962.2,4841333198.0,6.91
2024-01-07,43927.3,1297173169.0,-0.09
2024-01-06,43967.9,1066661254.0,-0.43
2024-01-05,44156.9,3005760183.0,0.0
2024-01-04,44157.0,3004883850.0,3.08
2024-01-03,42836.1,5039667165.0,-4.69
2024-01-02,44943.7,4397291608.0,1.72
2024-01-01,44183.4,1603857420.0,4.52
2023-12-31,42272.5,1504055550.0,0.32
2023-12-30,42136.7,1482369106.0,0.15
2023-12-29,42072.4,2565574952.0,-1.19
2023-12-28,42581.1,2122242024.0,-1.99
2023-12-27,43446.5,2176669650.0,2.2
2023-12-26,42513.3,2382020199.0,-2.44
2023-12-25,43578.5,1423709595.0,1.39
2023-12-24,42981.5,1326409090.0,-1.67
2023-12-23,43710.4,930594416.0,-0.59
2023-12-22,43968.9,1956616050.0,0.23
2023-12-21,43865.9,2147674464.0,0.47
2023-12-20,43662.8,3064691932.0,3.32
2023-12-19,42259.3,2336516697.0,-0.94
2023-12-18,42659.7,2626984326.0,3.12
2023-12-17,41368.7,1466934102.0,-2.14
2023-12-16,42271.7,1272800887.0,0.82
2023-12-15,41929.0,1898545120.0,-2.55
2023-12-14,43025.9,2544981985.0,0.33
2023-12-13,42884.5,2706440795.0,3.37
2023-12-12,41487.0,2366418480.0,0.56
2023-12-11,41256.1,4339729159.0,-5.79
2023-12-10,43791.0,1042663710.0,0.17
2023-12-09,43718.4,1384561728.0,-1.03
2023-12-08,44175.5,2581616220.0,2.05
2023-12-07,43289.7,2731147173.0,-1.11
2023-12-06,43776.3,3174657276.0,-0.68
2023-12-05,44076.2,4268339207.9999995,4.97
2023-12-04,41987.8,4375548638.0,5.05
2023-12-03,39970.2,1409748954.0,1.3
2023-12-02,39458.4,1463512056.0,1.99
2023-12-01,38688.2,2418012500.0,2.59
2023-11-30,37712.9,1264513537.0,-0.38
2023-11-29,37855.5,1867790370.0,0.09
2023-11-28,37823.3,2174839750.0,1.54
2023-11-27,37248.6,1685126664.0,-0.54
2023-11-26,37451.8,1093592560.0,-0.89
2023-11-25,37787.0,607992830.0,0.18
2023-11-24,37717.3,2482929859.0,1.14
2023-11-23,37293.1,1206431785.0,-0.31
2023-11-22,37410.8,2424593948.0,4.46
2023-11-21,35813.6,2545272552.0,-4.38
2023-11-20,37454.1,1940122380.0,0.27
2023-11-19,37354.2,976438787.9999999,2.15
2023-11-18,36568.6,763552368.0,-0.07
2023-11-17,36595.4,1879905698.0,1.2
2023-11-16,36161.2,2419907504.0,-4.52
2023-11-15,37874.9,2859933699.0,6.54
2023-11-14,35549.3,2259513508.0,-2.55
2023-11-13,36478.3,1625108265.0000002,-1.58
2023-11-12,37064.4,795031380.0,-0.23
2023-11-11,37150.5,1097054265.0,-0.41
2023-11-10,37303.0,2221766680.0,1.64
2023-11-09,36700.5,4241109780.0,2.98
2023-11-08,35636.9,1651057577.0,0.6
2023-11-07,35426.1,1894942089.0,1.1
2023-11-06,35042.0,1044602020.0,0.06
2023-11-05,35019.4,1086301788.0,-0.13
2023-11-04,35065.8,834566040.0000001,1.0
2023-11-03,34718.7,1893557897.9999998,-0.61
2023-11-02,34931.4,2223732924.0,-1.39
2023-11-01,35423.8,2538469508.0,2.23
2023-10-31,34650.6,1503836040.0,0.5
2023-10-30,34477.9,1558401080.0,-0.14
2023-10-29,34526.7,957080123.9999999,1.3
2023-10-28,34082.6,749817200.0,0.53
2023-10-27,33901.8,1604572194.0000002,-0.74
